Date,Type,Description,Value,Balance,Account Name,Account Number
01 Jan 2023,POS,"001 01JAN23 Payment, TESCO, LOCATION GB",-12.34,987.66,John Doe,111111-222222
05 Jan 2023,POS,"005 05JAN23 Payment, STARBUCKS, LOCATION GB",-5.50,982.16,John Doe,111111-222222
10 Jan 2023,Direct Deposit,"Salary Payment, ACME Inc, LOCATION GB",2000.00,2982.16,John Doe,111111-222222
15 Jan 2023,ATM,"015 15JAN23 Withdrawal, HSBC, LOCATION GB",-100.00,2882.16,John Doe,111111-222222
20 Jan 2023,POS,"020 20JAN23 Payment, AMAZON, LOCATION US",-25.00,2857.16,John Doe,111111-222222
25 Jan 2023,POS,"025 25JAN23 Payment, WALMART, LOCATION US",-30.00,2827.16,John Doe,111111-222222
30 Jan 2023,POS,"030 30JAN23 Payment, PAYPAL, LOCATION US",-45.00,2782.16,John Doe,111111-222222
01 Feb 2023,POS,"031 01FEB23 Payment, TESCO, LOCATION GB",-13.00,2769.16,John Doe,111111-222222
05 Feb 2023,POS,"035 05FEB23 Payment, STARBUCKS, LOCATION GB",-6.00,2763.16,John Doe,111111-222222
10 Feb 2023,Direct Deposit,"Salary Payment, ACME Inc, LOCATION GB",2000.00,4763.16,John Doe,111111-222222
15 Feb 2023,ATM,"015 15FEB23 Withdrawal, HSBC, LOCATION GB",-110.00,4653.16,John Doe,111111-222222
20 Feb 2023,POS,"020 20FEB23 Payment, AMAZON, LOCATION US",-26.00,4627.16,John Doe,111111-222222
25 Feb 2023,POS,"025 25FEB23 Payment, WALMART, LOCATION US",-32.00,4595.16,John Doe,111111-222222
28 Feb 2023,POS,"028 28FEB23 Payment, PAYPAL, LOCATION US",-50.00,4545.16,John Doe,111111-222222
01 Mar 2023,POS,"029 01MAR23 Payment, TESCO, LOCATION GB",-14.00,4531.16,John Doe,111111-222222
05 Mar 2023,POS,"033 05MAR23 Payment, STARBUCKS, LOCATION GB",-7.00,4524.16,John Doe,111111-222222
10 Mar 2023,Direct Deposit,"Salary Payment, ACME Inc, LOCATION GB",2000.00,6524.16,John Doe,111111-222222
15 Mar 2023,ATM,"015 15MAR23 Withdrawal, HSBC, LOCATION GB",-120.00,6404.16,John Doe,111111-222222
20 Mar 2023,POS,"020 20MAR23 Payment, AMAZON, LOCATION US",-27.00,6377.16,John Doe,111111-222222
25 Mar 2023,POS,"025 25MAR23 Payment, WALMART, LOCATION US",-33.00,6344.16,John Doe,111111-222222
30 Mar 2023,POS,"030 30MAR23 Payment, PAYPAL, LOCATION US",-55.00,6289.16,John Doe,111111-222222
